Timestamp,Type,MMSI,NavigationStatus,TurnRate,SpeedOverGround,PositionAccuracy,Latitude,Longitude,COG,Heading,ROT,ManeuverIndicator
2023-05-25 13:22:09.273322,1,636021344,<NavigationStatus.UnderWayUsingEngine: 0>,0,9.8,False,72.518395,18.937283,160.9,164,42,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:23.612570,1,419000337,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,9.3,False,72.847997,18.913005,201.2,511,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:21.722296,1,419000337,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,9.5,False,72.848025,18.913082,201.9,511,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:24.232087,1,419001239,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,5.4,True,72.952245,18.823538,335.3,511,57,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:04.473833,1,419001239,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,5.4,True,72.952477,18.823047,335.8,511,36,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:24.632068,1,353402000,<NavigationStatus.UnderWayUsingEngine: 0>,0,9.5,True,72.561638,18.70773,12.8,9,57,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:54.014837,1,353402000,<NavigationStatus.UnderWayUsingEngine: 0>,0,9.7,True,72.561298,18.70637,11.9,10,26,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:25.961875,1,419001526,<NavigationStatus.UnderWayUsingEngine: 0>,1,5.3,False,72.95481,18.818435,334.6,335,43,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:56.242258,1,419001526,<NavigationStatus.UnderWayUsingEngine: 0>,-1,5.2,False,72.955133,18.817763,335.4,335,14,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:32.951258,1,419001688,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,4.1,False,72.780435,18.860898,145.4,511,3,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:20:32.152185,1,419001688,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3.7,False,72.779713,18.862828,164.5,511,8,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:33.116035,1,419000620,<NavigationStatus.AtAnchor: 1>,<TurnRate.NO_TI_DEFAULT: -128.0>,4.8,True,72.93864,18.835302,103.9,511,7,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:13.033090,1,419000620,<NavigationStatus.AtAnchor: 1>,<TurnRate.NO_TI_DEFAULT: -128.0>,4.7,True,72.93819,18.835397,102.9,511,47,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:33.141130,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_LEFT: -127.0>,13,False,72.842865,18.839468,313.5,311,7,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:31.061335,1,419000667,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_LEFT: -127.0>,13.4,False,72.842985,18.839347,317.8,313,5,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:34.631132,1,419001268,<NavigationStatus.UnderWayUsingEngine: 0>,-2,10.3,True,72.519433,18.987033,336,335,8,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:21:23.857725,1,419001268,<NavigationStatus.UnderWayUsingEngine: 0>,0,10.3,True,72.5209,18.983933,336,335,58,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:35.081074,1,419001473,<NavigationStatus.Moored: 5>,<TurnRate.NO_TI_RIGHT: 127.0>,8.7,False,72.876268,18.9289,259,258,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:24.332066,1,419001473,<NavigationStatus.Moored: 5>,0,8.5,False,72.876725,18.928982,257.5,256,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:37.780759,1,419000341,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_RIGHT: 127.0>,8.1,True,72.841512,18.930602,341.1,344,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:28.471707,1,419000341,<NavigationStatus.Undefined: 15>,<TurnRate.NO_TI_LEFT: -127.0>,8.1,True,72.841638,18.930278,338.4,340,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:42.310458,1,351276000,<NavigationStatus.UnderWayUsingEngine: 0>,3,10.9,False,72.555183,18.893438,340.7,338,17,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:31.888804,1,351276000,<NavigationStatus.UnderWayUsingEngine: 0>,-5,10.9,False,72.555362,18.892947,340.6,338,7,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:42.390432,1,419172000,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,2.4,True,72.751463,18.831752,97,511,16,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:32.181288,1,419172000,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,2.3,True,72.751342,18.831775,100.8,511,6,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:44.420118,1,352823000,<NavigationStatus.UnderWayUsingEngine: 0>,0,7,False,72.671192,18.822322,84,80,54,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:34.441092,1,352823000,<NavigationStatus.UnderWayUsingEngine: 0>,0,6.9,False,72.670847,18.822278,85,80,44,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:46.180011,1,419047300,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,102.3,False,181,91,360,511,60,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:36.441016,1,419047300,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,0,False,72.861985,18.93727,0,511,6,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:46.280168,1,419000619,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3,True,72.956327,18.811998,156.3,511,20,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:36.550973,1,419000619,<NavigationStatus.UnderWayUsingEngine: 0>,<TurnRate.NO_TI_DEFAULT: -128.0>,3,True,72.95626,18.812128,156,511,10,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:49.239716,1,257993000,<NavigationStatus.UnderWayUsingEngine: 0>,0,2.9,True,72.498747,18.949993,233.9,242,22,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:17:29.778931,1,257993000,<NavigationStatus.UnderWayUsingEngine: 0>,0,2,True,72.500565,18.953135,181,215,3,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:50.789646,1,636021344,<NavigationStatus.UnderWayUsingEngine: 0>,3,9.9,False,72.51903,18.93544,161.7,165,23,<ManeuverIndicator.NotAvailable: 0>
2023-05-25 13:22:39.670631,1,636021344,<NavigationStatus.UnderWayUsingEngine: 0>,1,9.9,False,72.518865,18.935928,161.7,165,12,<ManeuverIndicator.NotAvailable: 0>
